TBA Brooklyn,Dance Clubs,DUMBO,325 Franklin Ave,NY,2
Armond’s Lounge,Lounges,Forest Hills,42-31 162nd St,NY,3
Mr. Purple,Lounges,Meatpacking District,113 St Marks Pl,NY,2
St Ann’s Warehouse,Performing Arts,Clinton Hill,"149 7th St, The Bell House",NY,2
Desert Rain Lounge,Lounges,Auburndale,41-01 Broadway,NY,2
Cielo,Dance Clubs,East Village,49 W 27th St,NY,2
C’mon Everybody,Music Venues,Gowanus,58-02 37th Ave,NY,2
Sir Gar Bar NYC,Tobacco Shops,Astoria,84-13 Northern Blvd,NY,2
Please Don’t Tell,Lounges,Flatiron,152 W 26th St,NY,2
The Rub,Dance Clubs,Woodside,1458 St Johns Pl,NY,1
Astoria Tango Club & School,Social Clubs,Jackson Heights,1074 1st Avenue,NY,3
Patent Pending,Speakeasies,Chelsea,249 W Broadway,NY,2
D’Haven,Filipino,Weeksville,758 5th Ave,NY,2
Amaru Pisco bar,Lounges,Sunnyside,Unknown,NY,3
RARE View Rooftop Chelsea,Cocktail Bars,Midtown East,395 Wythe Ave,NY,2
Happiness Lounge,Lounges,TriBeCa,2065 Fulton St,NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,Sunset Park,"180 Orchards St, Hotel Indigo",NY,3
Sutton Bar Room,Bars,"Brooklyn, NY",45 Water St,NY,2
Anotheroom,Lounges,Williamsburg - South Side,107-29 Metropolitan Ave,NY,1
Xstasy Night Club,Dance Clubs,Ocean Hill,18 Little W 12th St,NY,2
Brooklyn Heights Social Club,Cocktail Bars,Lower East Side,"325 Franklin AveBrooklyn, NY 11238",NY,3
TBA Brooklyn,Dance Clubs,DUMBO,"42-31 162nd StFlushing, NY 11358",NY,1
Armond’s Lounge,Lounges,Forest Hills,"113 St Marks PlNew York, NY 10009",NY,2
Mr. Purple,Lounges,Meatpacking District,"149 7th StBrooklyn, NY 11215",NY,3
St Ann’s Warehouse,Performing Arts,,"41-01 BroadwayAstoria, NY 11103",NY,2
Desert Rain Lounge,Lounges,"Clinton Hill, Bedford Stuyvesant","49 W 27th StNew York, NY 10001",NY,2
Cielo,Dance Clubs,"Auburndale, Flushing","58-02 37th AveWoodside, NY 11377",NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,"East Village, Alphabet City","84-13 Northern BlvdJackson Heights, NY 11372",NY,2
C’mon Everybody,Music Venues,Gowanus,"152 W 26th StNew York, NY 10001",NY,2
Sir Gar Bar NYC,Tobacco Shops,Astoria,"1458 St Johns PlBrooklyn, NY 11213",NY,1
Please Don’t Tell,Lounges,Flatiron,"1890 Eastchester RdBronx, NY 10461",NY,2
The Rub,Dance Clubs,Woodside,"8 Erie StJersey City, NJ 07302",NY,2
Astoria Tango Club & School,Social Clubs,Jackson Heights,"27-24 Jackson AveLong Island City, NY 11101",NY,2
Patent Pending,Speakeasies,Chelsea,"65 Kent AveBrooklyn, NY 11249",NY,3
D’Haven,Filipino,"Weeksville, Crown Heights","63 W 38th StNew York, NY 10018",NY,2
Amaru Pisco bar,Lounges,,"857 Atlantic AveBrooklyn, NY 11238",NY,3
RARE View Rooftop Chelsea,Cocktail Bars,Long Island City,"25 Little W 12th StNew York, NY 10014",NY,2
Happiness Lounge,Lounges,Williamsburg - North Side,"35 E 13th StNew York, NY 10003",NY,4
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,Midtown West,"453 W 17th StNew York, NY 10011",NY,3
Sahara Cafe Hookah Lounge,Lounges,"Prospect Heights, Clinton Hill","135 Atlantic AveBrooklyn, NY 11201",NY,2
Miss Wong’s,Lounges,"Meatpacking District, West Village","35-50 31st StAstoria, NY 11106",NY,2
Dutch Kills,Lounges,"Union Square, Greenwich Village","657 Malcom X BlvdNew York, NY 10037",NY,1
Scriptum Brooklyn,Italian,Chelsea,"31-30 Ditmars BlvdAstoria, NY 11105",NY,2
Refinery Rooftop,Lounges,Cobble Hill,"42-51 27th StLong Island City, NY 11101",NY,2
The Social Butterfly,Lounges,,"123-07 Liberty AveQueens, NY 11419",NY,3
Day & Night,Dance Clubs,Astoria,"37 W 26st 9th FlNew York, NY 10001",NY,1
Club Cache,Dance Clubs,Harlem,"470 7th AveNew York, NY 10018",NY,1
1 OAK,Dance Clubs,Astoria,"8109 Roosevelt AveJackson Heights, NY 11372",NY,3
Le Boudoir,Cocktail Bars,Long Island City,"254 W 54th StNew York, NY 10019",NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,Ozone Park,"161 W 23rd StNew York, NY 10011",NY,2
Tantra Lounge,Lounges,Flatiron,"30 Water StNew York, NY 10004",NY,2
A Touch of Dee,Dive Bars,"Chelsea, Midtown West","114 W 47th StNew York, NY 10036",NY,3
The Last Word,Cocktail Bars,"Theater District, Midtown West","213 Water StNew York, NY 10038",NY,2
The Beast Next Door,Bars,Chelsea,Unknown,NY,2
Elevate Sky Lounge,Lounges,,"1271 Myrtle AveBrooklyn, NY 11221",NY,2
Baile De Melao,Dance Clubs,Financial District,"9532 Queens BlvdRego Park, NY 11374",NY,2
Best Clubs in Nyc,Dance Clubs,"Theater District, Midtown West","52 Walker StNew York, NY 10013",NY,1
Hairos Nightclub,Bars,South Street Seaport,"75 Christopher StNew York, NY 10014",NY,3
Feinstein’s/54 Below,Lounges,"Theater District, Midtown West","8750 Lefferts BlvdQueens, NY 11418",NY,2
Retroclubnyc,Dance Clubs,Bushwick,"1567 BroadwayNew York, NY 10036",NY,2
Sugardaddy’s Gentlemen’s Club,Adult Entertainment,Rego Park,"247 Eldridge StNew York, NY 10002",NY,2
The Dead Rabbit,Cocktail Bars,TriBeCa,"54 Watts StNew York, NY 10013",NY,3
III Pillars Bar,Lounges,West Village,"70-15 Austin StForest Hills, NY 11375",NY,2
Seawife,Performing Arts,Richmond Hill,"1897 Coney Island AveBrooklyn, NY 11230",NY,2
The Rum House,Lounges,"Theater District, Midtown West","67 4th AveBrooklyn, NY 11217",NY,3
Bossa Nova Civic Club,Dance Clubs,Lower East Side,"734 Flatbush AveBrooklyn, NY 11226",NY,2
Tropix Bar & Lounge,Lounges,South Village,Unknown,NY,2
M1-5 Lounge,Lounges,Forest Hills,"56-15 Northern BlvdWoodside, NY 11377",NY,3
Fat Cat Music,Pool Halls,Midwood,"168 Borinquen PlBrooklyn, NY 11211",NY,2
M2 Lounge & Billiards,Lounges,"Gowanus, Park Slope","189 West 10th StNew York, NY 10014",NY,2
The Living Room,Bars,"Prospect Lefferts Gardens, Flatbush","2271 Adam Clayton Powell BlvdNew York, NY 10030",NY,2
Lounge 247,Lounges,Long Island City,"338 E 92nd StNew York, NY 10128",NY,2
Artifakt Bar & Lounge,Lounges,Woodside,"605 2nd AveNew York, NY 10016",NY,2
Sorry Not Sorry,Lounges,Williamsburg - South Side,"2828 W 28th StNew York, NY 11224",NY,4
Empire Lounge,Lounges,West Village,"107 Macon StBrooklyn, NY 11216",NY,2
The Armory,Cocktail Bars,Harlem,"7 52nd StBrooklyn, NY 11232",NY,2
Flatbush Zombie House,Tiki Bars,"Yorkville, Upper East Side","312 E9th StNew York, NY 10003",NY,2
Penthouse 808 Asian Bistro & Lounge,Lounges,"Murray Hill, Kips Bay, Midtown East","777 8th AveNew York, NY 10036",NY,2
La Boom,Dance Clubs,Coney Island,"2320 McDonald AveBrooklyn, NY 11223",NY,2
Black Flamingo,Cocktail Bars,Bedford Stuyvesant,"33 W 60th StNew York, NY 10023",NY,2
Due West,Cocktail Bars,East Village,"247 Eldridge StNew York, NY 10002",NY,2
Shrine,Bars,"Theater District, Midtown West, Hell's Kitchen","54 Watts StNew York, NY 10013",NY,3
Drunken Munkey NYC,Indian,Gravesend,"70-15 Austin StForest Hills, NY 11375",NY,2
ER Bar And Lounge,Cocktail Bars,"Hell's Kitchen, Midtown West","1897 Coney Island AveBrooklyn, NY 11230",NY,2
Brown’s Lounge,Lounges,,"67 4th AveBrooklyn, NY 11217",NY,3
